source_text,target_text
get me the high priced tv that you have,get me the high priced televisions that you have
i don't have a proper oven till now,i don't have a proper oven till now
"I am looking for long sleeved shirts, I want shirts, In XL Size",I am looking for long-sleeved shirts in XL size
"am looking for washing machines, how about black color, show me in agitator feature",I am looking for washing machines. How about one in black color with an agitator feature?
"show me products that have energy efficient, show me all black washers",Show me all black washing machines that are energy efficient
"am looking for washing machines, black colour, in samsung brand","I am looking for washing machines in the black color, specifically in the Samsung brand."
"i only want black washers, and show me in front load only","I am specifically interested in black washing machines, preferably in front load style"
"i want to buy a new shirt, in black colour",I want to buy a new shirt in black color.
"I want to buy a new microwave, in Air Fry, Bake",I want to buy a new microwave with Air Fry and Bake functions
"I am looking for refrigerators, show that in white colour",I am looking for refrigerators available in white color
"I need microwave ovens, show that in grey colour",I need microwave ovens available in gray color.
Show me televisions,am looking for televisions
"am looking for washing machines, show that in black colour, and in samsung brand, and the size should be in 8kg","I am looking for washing machines in black color from the Samsung brand, specifically in the 8kg size"
"show me black washing machines, show that in top load",show me top load washing machines in black color
"show me washing machines, in black color, and a size of 8kg?",Show me washing machines in black color with a size of 8kg
"show me washing machines, i need that in front load",Show me front load washing machines
"am looking for washing machines, i need that in front load, how about in size 9kg",am looking for front load washing machines in a size of 9kg
"i need washing machines, i need that in front load, how about in size 9kg,what about in black colour",i need front load washing machines in a size of 9kg and black color
"show me black washing machines, show that in topload",show me topload washing machines in black color
"show me washing machines, i need that in frontload",Show me frontload washing machines
"am looking for washing machines, i need that in frontload, how about in size 9kg",am looking for frontload washing machines in a size of 9kg
"show me washing machines, i need that in frontload, how about in size 9kg,what about in black colour",Show me frontload washing machines in a size of 9kg and black color
"show me washing machines, i need that in top load, how about in size 7kg,what about in white colour",Show me top load washing machines in a size of 7kg and white color
"am looking for washing machines, i need that in top load, how about in size 8.5kg",am looking for top load washing machines in a size of 8.5kg
"show me washing machines, i need that in topload",Show me top load washing machines
"show me washing machines, i need that in topload, how about in size 7kg,what about in white colour",Show me topload washing machines in a size of 7kg and white color
"i need washing machines, i need that in topload, how about in size 8.5kg",i need topload washing machines in a size of 8.5kg
"show me washing machines, i need that in top loading once's",Show me top loading washing machines
Show me televisions,Show me televisions
Show me what televisions you have in stock?,Show me what televisions you have in stock?
show me all the ovens you have,show me all the ovens you have
"show me top load shirts, display one shirt",Please show me top-load shirts and display one shirt
"show me all the shirts, in below $30, and in xl size",Show me all the shirts below $30 and in XL size
"show me all the shirts, in below $30, and in xl size, then show me only in m size not in Xl size.",Show me all the medium-sized shirts under $30
"Show for microwave ovens with air fry and bake options, and along with that i need Black colour with turntable","Show me microwave ovens with air fry and bake options, preferably in black color and with a turntable"
"Show for microwave ovens with air fry and bake options, what about with safety lock and bake, and in black colour","Show me microwave ovens with air fry and bake options, as well as safety lock and bake feature in black color"
Find countertop microwaves,am looking for countertop microwave ovens
"Find countertop microwaves, and with broiler feature, how about with a black colour","Find countertop microwaves with a broiler feature, preferably in black color"
"Find black countertop microwaves with broiler feature, and along that i need smart touch cooking and inverter technology","I need black countertop microwaves ovens with a broiler feature, as well as smart touch cooking, inverter technology."
"get me some front load washing machines, and along with stackable dryer feature, in champagne colour",find some front load washing machines in champagne color that come with a stackable dryer feature
Best top load washing machines with add garment feature in grey color,Best top load washing machines with add garment feature in grey color
"Stackable washing machines with large capacity, and show me that in front load",Show me front load washing machines with a large capacity that are stackable
"Stackable washing machines with large capacity, and show me that in front load, along with black colour","Show me stackable washing machines with a large capacity, preferably in front load and black color"
i want to wash my clothes,am looking for washing machines
Show me top load washing machines in black,Show me top load washing machines in black
"I want a washing machine, and that which can keep clean and dry at the same time",I want a washing machine that can both clean and dry clothes simultaneously
